id;nombre;descripcion
1;Gripe;Infeccion viral que afecta las vias respiratorias superiores, causando fiebre, tos, dolor de cabeza y malestar general.
2;Neumonia;Inflamacion de los pulmones causada por infecciones bacterianas, virales o fungicas, que puede provocar dificultad para respirar.
3;Diabetes Tipo 2;Enfermedad metabolica que afecta la forma en que el cuerpo maneja el azucar en sangre, resultando en niveles elevados de glucosa.
4;Hipertension;Condicion en la cual la presion sanguinea en las arterias se mantiene alta de manera cronica, lo que puede llevar a problemas cardiacos.
5;Asma;Enfermedad respiratoria cronica caracterizada por dificultad para respirar, sibilancias y opresion en el pecho debido a la inflamacion de las vias respiratorias.
6;Cancer de Mama;Enfermedad en la cual las celulas de la mama se multiplican de manera descontrolada, formando tumores malignos.
7;Enfermedad de Alzheimer;Trastorno neurodegenerativo progresivo que afecta la memoria, el pensamiento y el comportamiento, siendo una de las formas mas comunes de demencia.
8;Artritis;Enfermedad inflamatoria que afecta las articulaciones, causando dolor, hinchazon y limitacion del movimiento.
9;Tuberculosis;Infeccion bacteriana que generalmente afecta los pulmones, pero que puede propagarse a otras partes del cuerpo si no se trata adecuadamente.
10;Varicela;Enfermedad viral altamente contagiosa caracterizada por erupciones en la piel y fiebre, comunmente sufrida por ninos pequenos.
