id;nombre;descripcion
1;Cardiología;Especialidad médica que se ocupa del diagnóstico y tratamiento de las enfermedades del corazón y del sistema circulatorio.
2;Neurología;Especialidad médica que estudia el sistema nervioso, sus trastornos y enfermedades relacionadas con él.
3;Oncología;Área de la medicina que se dedica al diagnóstico, tratamiento y prevención del cáncer.
4;Pediatría;Especialidad médica que se enfoca en el cuidado de los niños, desde su nacimiento hasta la adolescencia.
5;Ginecología;Disciplina médica dedicada al estudio y tratamiento de los órganos reproductivos femeninos y sus enfermedades.
6;Dermatología;Rama de la medicina encargada del diagnóstico y tratamiento de enfermedades de la piel, el cabello y las uñas.
7;Psiquiatría;Especialidad médica que se ocupa de los trastornos mentales, emocionales y conductuales.
8;Ortopedia;Especialidad médica que se encarga del diagnóstico y tratamiento de lesiones y enfermedades del sistema musculoesquelético.
9;Urología;Especialidad médica que se centra en el diagnóstico y tratamiento de las enfermedades del tracto urinario y los órganos reproductores masculinos.
10;Oftalmología;Área de la medicina que se ocupa de la prevención, diagnóstico y tratamiento de enfermedades de los ojos.
