id;nombre;descripcion;dosis
1;zebra until loudly;notwithstanding among unnecessarily;forgo meanwhile
2;massage bowed;machine;replacement manipulate
3;yum supposing;a alongside violently;firm anenst helpless
4;till astride;telescope;tangible behold
5;round;jell;out after yearly
6;truthfully drat;upright indeed cycle;brr
7;sparse baa;pfft depute;carpool arid incidentally
8;outside;gust surprised um;save independence torn
9;lively apprehensive canter;giant hopelessly;gratefully
10;violently suspension;outfit bulky;ack although phew
